vehicle_type,model,mae,rmse,mape
Auto,baseline_naive,4.150199885779554,5.163074535935036,88.74928612221588
Auto,prophet,1.5633964346276756,2.027753099818328,15506531.47363046
Bike,baseline_naive,1.8749286122215876,2.5639730377746135,18903525.47074935
Bike,prophet,1.2138626457133637,1.5793560187006475,17991121.96985567
Go Mini,baseline_naive,2.7173043974871502,3.6252178492605616,12792742.25079049
Go Mini,prophet,1.4278487352907525,1.9016325019108555,13602689.964043023
Go Sedan,baseline_naive,2.3672187321530553,3.1760633873990454,15077147.467389042
Go Sedan,prophet,1.3545764922232228,1.766337451277684,17319970.313860424
Premier Sedan,baseline_naive,1.9977142857142858,2.693272040792442,75.4857142857143
Premier Sedan,prophet,1.0960906349837622,1.4281531632291047,25431458.64492617
Uber XL,baseline_naive,0.5197030268418047,0.9249384501108343,38.4351798972016
Uber XL,prophet,0.534739378235649,0.710835017099829,26124598.29360294
eBike,baseline_naive,0.9394631639063392,1.2959983219454556,36493452.03407577
eBike,prophet,0.8332489365520048,1.1048584515346431,28039695.955322187
